date,update,search_downloads,search_impressions,asa_impressions,asa,google
01/11/2018,,725.0,8786,3105,334,94
02/11/2018,,711.0,8374,3890,348,74
03/11/2018,,790.0,9515,3900,400,71
04/11/2018,,902.0,10371,4600,517,107
05/11/2018,,721.0,8681,3409,369,108
06/11/2018,,733.0,8243,3642,391,95
07/11/2018,,667.0,7793,2524,322,97
08/11/2018,,775.0,8892,3083,391,67
09/11/2018,,687.0,9052,3672,373,108
10/11/2018,,745.0,8692,3473,433,110
11/11/2018,,762.0,9351,4142,390,92
12/11/2018,,776.0,9371,3805,395,91
13/11/2018,,725.0,8364,3226,330,204
14/11/2018,,696.0,7730,2417,297,271
15/11/2018,,735.0,8900,3719,321,252
16/11/2018,,940.0,11172,4787,516,223
17/11/2018,,1067.0,14395,8754,686,188
18/11/2018,,1133.0,14722,9353,770,153
19/11/2018,,929.0,13941,7075,644,129
20/11/2018,,855.0,12840,5821,519,130
21/11/2018,,916.0,12024,5344,490,157
22/11/2018,,876.0,11490,5656,461,159
23/11/2018,,970.0,11383,6281,528,123
24/11/2018,,912.0,14066,7242,561,113
25/11/2018,,818.0,11886,6055,524,118
26/11/2018,,823.0,10661,7744,630,98
27/11/2018,,670.0,9266,4024,323,133
28/11/2018,,854.0,11844,5596,470,102
29/11/2018,,874.0,11668,5727,523,118
30/11/2018,,730.0,12789,6472,381,112
01/12/2018,,1109.0,14686,8085,629,117
02/12/2018,,1088.0,12858,6831,622,169
03/12/2018,visual,926.0,11366,5811,569,115
04/12/2018,,825.0,9462,4689,489,105
05/12/2018,,919.0,10024,4804,522,102
06/12/2018,,905.0,8799,3773,347,110
07/12/2018,,746.0,8452,3723,309,134
08/12/2018,,871.0,10105,4313,484,154
09/12/2018,,1065.0,11098,6048,680,128
10/12/2018,,866.0,9660,4936,485,112
11/12/2018,,930.0,11273,4725,560,162
12/12/2018,,1097.0,11491,5563,797,190
13/12/2018,,1170.0,13394,7253,778,156
14/12/2018,,1364.0,14422,10244,954,145
15/12/2018,,1451.0,18068,12438,1087,179
16/12/2018,,1568.0,19479,14878,1151,201
17/12/2018,,1315.0,18427,12337,985,142
18/12/2018,,1412.0,13688,9544,1001,111
19/12/2018,,1371.0,17575,10999,1058,149
20/12/2018,,1506.0,15090,9029,1095,194
21/12/2018,,1297.0,13762,8338,937,171
22/12/2018,all,1111.0,12600,6691,734,158
23/12/2018,,829.0,10262,4932,472,148
24/12/2018,,898.0,11565,4308,469,115
25/12/2018,,738.0,10827,4558,354,89
26/12/2018,,949.0,11061,5279,453,136
27/12/2018,,868.0,11166,5101,568,122
28/12/2018,,958.0,11272,5134,545,128
29/12/2018,,934.0,11317,4647,460,145
30/12/2018,,1044.0,12539,5156,601,178
31/12/2018,,1366.0,15050,7941,873,190
